                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9856,                 5.7125,                 4.2823,                  8e-05,                0.00633,                  4e-05,                  1e-05,                 4.6462,                 4.4898,                 4.1619,                 0.0016,                 0.0016,                 0.0016
                      2,                 3.9885,                 5.6096,                 4.2337,                  8e-05,                0.00633,                  4e-05,                  1e-05,                  4.646,                 4.4882,                 4.1585,              0.0032989,              0.0032989,              0.0032989
                      3,                  3.892,                 5.4895,                 4.1617,                  9e-05,                0.00712,                  5e-05,                  1e-05,                 4.6501,                 4.5021,                 4.1573,              0.0049967,              0.0049967,              0.0049967
                      4,                 3.5841,                  5.119,                 3.8592,                  8e-05,                0.00593,                  5e-05,                  1e-05,                 4.6582,                 4.5627,                 4.1924,              0.0066934,              0.0066934,              0.0066934
                      5,                 3.3868,                 4.8213,                 3.5042,                 0.0002,                0.01152,                0.00041,                 0.0001,                 4.2477,                 4.5219,                 4.0228,              0.0083889,              0.0083889,              0.0083889
                      6,                 3.0825,                 4.3956,                 3.2294,                0.43708,                0.03125,                0.02477,                0.00608,                 3.3546,                 3.9348,                 3.1431,              0.0099835,              0.0099835,              0.0099835
                      7,                 2.9596,                  4.146,                 3.0285,                0.03646,                0.08617,                0.02319,                0.00594,                 3.0057,                 4.2184,                 2.6196,              0.0099802,              0.0099802,              0.0099802
                      8,                 2.8351,                 3.8485,                 2.8352,                0.13829,                0.02776,                0.00518,                0.00118,                 3.7979,                 18.045,                  3.292,              0.0099769,              0.0099769,              0.0099769
                      9,                 2.8093,                 3.7409,                 2.7685,                0.16089,                0.11933,                0.02779,                0.00718,                 3.0123,                 11.643,                 2.4949,              0.0099736,              0.0099736,              0.0099736
                     10,                 2.7964,                 3.6408,                   2.69,                 0.1533,                 0.0536,                0.01534,                0.00377,                 3.3534,                 7.5948,                 2.6265,              0.0099703,              0.0099703,              0.0099703
                     11,                 2.7221,                 3.5335,                 2.6082,                0.27394,                0.06333,                0.03519,                0.01059,                 3.3594,                    inf,                 2.6114,               0.009967,               0.009967,               0.009967
                     12,                 2.6867,                 3.4618,                 2.5815,                0.38454,                0.13474,                0.15013,                0.04868,                 2.7629,                  8.287,                 2.3209,              0.0099637,              0.0099637,              0.0099637
                     13,                 2.6364,                 3.4055,                 2.5219,                0.13387,                  0.215,                0.14466,                0.05119,                 2.7146,                 3.8496,                 2.1502,              0.0099604,              0.0099604,              0.0099604
                     14,                 2.5661,                 3.3223,                 2.4482,                0.47418,                0.18042,                 0.1783,                0.06055,                 2.5847,                 2.7208,                 2.0076,              0.0099571,              0.0099571,              0.0099571
                     15,                 2.4981,                 3.2644,                 2.3938,                0.14925,                0.20426,                0.12062,                0.04207,                 2.6352,                 3.0442,                 2.0491,              0.0099538,              0.0099538,              0.0099538
                     16,                 2.5267,                  3.249,                 2.3953,                0.30365,                0.29076,                0.17493,                0.05387,                 2.7888,                 3.3324,                  2.243,              0.0099505,              0.0099505,              0.0099505
                     17,                 2.4495,                 3.1769,                 2.3419,                 0.1944,                 0.1952,                0.15037,                0.05474,                 2.6669,                 3.7779,                 2.0219,              0.0099472,              0.0099472,              0.0099472
                     18,                 2.4402,                 3.1453,                 2.3083,                0.22229,                0.25482,                    0.2,                0.06511,                 2.7298,                 2.9558,                 2.0356,              0.0099439,              0.0099439,              0.0099439
                     19,                 2.4263,                 3.1041,                 2.3098,                0.21309,                0.24119,                0.20224,                0.07082,                 2.5957,                 2.2852,                 2.0152,              0.0099406,              0.0099406,              0.0099406
                     20,                 2.3805,                 3.0029,                 2.2587,                0.24789,                0.25664,                0.20749,                0.08213,                 2.5644,                 2.2877,                 1.9908,              0.0099373,              0.0099373,              0.0099373
                     21,                 2.3775,                  3.003,                 2.2577,                0.30866,                0.31982,                0.28843,                  0.124,                 2.3746,                 2.0606,                 1.8707,               0.009934,               0.009934,               0.009934
                     22,                 2.3755,                 2.9548,                 2.2389,                0.42606,                0.23765,                0.23014,                0.09288,                   2.42,                 3.4588,                 1.9196,              0.0099307,              0.0099307,              0.0099307
                     23,                 2.3833,                 2.9421,                  2.241,                0.54097,                0.26996,                0.29681,                0.13694,                 2.3119,                  3.177,                 1.8599,              0.0099274,              0.0099274,              0.0099274
                     24,                 2.3202,                 2.8219,                 2.1698,                0.35323,                0.31042,                0.29505,                0.11374,                 2.3816,                 2.0224,                 1.8642,              0.0099241,              0.0099241,              0.0099241
                     25,                 2.3071,                 2.8127,                  2.169,                0.33756,                0.34416,                0.34335,                0.13133,                 2.3887,                 2.0064,                 1.9025,              0.0099208,              0.0099208,              0.0099208
                     26,                 2.3003,                 2.8096,                 2.1756,                0.39656,                0.37479,                0.36536,                0.13495,                 2.3814,                 1.9285,                 1.8995,              0.0099175,              0.0099175,              0.0099175
                     27,                 2.2556,                 2.7551,                 2.1344,                0.30178,                 0.3172,                0.29763,                0.10653,                 2.6133,                 2.1119,                 2.0583,              0.0099142,              0.0099142,              0.0099142
                     28,                 2.2727,                 2.7264,                 2.1512,                0.27501,                 0.3772,                0.30258,                0.12202,                 2.5025,                 2.8756,                 1.9143,              0.0099109,              0.0099109,              0.0099109
                     29,                 2.2739,                  2.705,                 2.1233,                0.58341,                0.34039,                 0.3555,                0.15071,                 2.2501,                 1.9453,                 1.7848,              0.0099076,              0.0099076,              0.0099076
                     30,                 2.2567,                  2.713,                 2.0986,                0.54792,                0.36305,                0.37685,                 0.1496,                 2.2717,                 1.8481,                 1.8076,              0.0099043,              0.0099043,              0.0099043
                     31,                 2.2377,                 2.6835,                 2.0971,                0.50987,                0.35117,                0.34276,                0.14945,                 2.2959,                 2.0589,                 1.8196,               0.009901,               0.009901,               0.009901
                     32,                 2.2319,                 2.6675,                 2.0909,                0.54462,                0.35427,                0.34962,                0.10742,                 2.3748,                 1.9344,                 1.9057,              0.0098977,              0.0098977,              0.0098977
